english_language_name,native_language_name
Acholi,Acholi
Afrikaans,Afrikaans
Ateso,Ateso
Aymara,Aymara
Azerbaijani,Azərbaycan
Azerbaijani,Azərbaycan (кирилҹә)
Baoule,Baoulé
Bicol,Bicol
Cakchiquel,cakchiquel
Cebuano,Cebuano
Chol,Chol
Lenje,Cilenje
Cinyanja,Cinyanja
Mauritian,Créole Mauricien
Welsh,Cymraeg
Dangme,Dangme
Danish,Dansk
German,Deutsch
Estonian,eesti
Efik,Efịk
English,English
Spanish,español
Ewe,Ewe
Niuean,Faka-Niue
Tokelauan,Faka-Tokelau
Frafra,Frafra
French,Français
Faeroese,Føroyskt
Ga,Ga
Irish,Gaeilge
Garifuna,Garifuna
Guarani,guaraní
Guna,guna
Kikuyu,Gĩkũyũ
Hausa,Hausa
Herero,Herero
Hiligaynon,Hiligaynon
Croatian,hrvatski
Huave,huave
Lamba,Icilamba
Igbo,Igbo
Kinyarwanda,Ikinyarwanda
Iloko,Iloko
Indonesian,Indonesia
Ndebele,IsiNdebele
Xhosa,IsiXhosa
Zulu,IsiZulu
Isoko,Isoko
Italian,italiano
Kabyle,Kabyle
Greenlandic,Kalaallisut
Kalanga,Kalanga
Kalenjin,Kalenjin
Kekchi,kekchí
Khoekhoegowab,Khoekhoegowab
Kikamba,Kikamba
Kikaonde,Kikaonde
Kongo,Kikongo (Rép. dém. du congo)
Kiluba,Kiluba
Kisi,Kisiei
Kisonge,Kisonge
Swahili,Kiswahili
Swahili,Kiswahili cha Congo-Kinshasa
Seychelles,Kreol Seselwa
Haitian,Kreyòl ayisyen
Krio,Krio
Kurdish,K’urdî Kurmancî (Kavkazûs)
Chin,Lai Holh (Hakha)
Latvian,Latviešu
Lahu,Laˇhuˍ hkawˇ
Lhukonzo,Lhukonzo
Lithuanian,lietuvių
Lingala,Lingala
Luganda,Luganda
Lugbara,Lugbara
Luo,Luo
Luvale,Luvale
Venda,Luvenda
Hungarian,magyar
Malagasy,Malagasy
Maltese,Malti
Mam,mam
Mambwe-Lungu,Mambwe-Lungu
Mapudungun,mapudungún
Maya,maya
Mayangna,mayangna
Mayo,mayo (yoremnok´ki)
Mazatec,mazateco de Huautla
Mbunda,Mbunda
Miskito,miskito
Mixe,mixe
Mixtec,mixteco de guerrero (tu̱ʼun saví)
Mixtec,Mixteco de Huajuapan
Ndonga,Ndonga
Dutch,Nederlands
Ngabere,ngäbere
Norfuk,Norfuk
Norwegian,Norsk
Nzema,Nzema
Nahuatl,náhuatl de guerrero
Nahuatl,náhuatl de la huasteca
Nahuatl,náhuatl del centro
Nahuatl,náhuatl del norte de puebla
Aukan,Okanisitongo
Oromo,Oromoo
Kwanyama,Oshikwanyama
Otomi,Otomí
Pangasinan,Pangasinan
Papiamento,Papiamentu (Kòrsou)
Pilagá,pilagá
Polish,polski
Portuguese,Português
Tarascan,purépecha
Quechua,Quechua (Ancash)
Quechua,Quechua (Bolivia)
Quechua,quechua (cusco)
Quechua,quechua ayacuchano
Quichua,quichua
Quichua,quichua (santiago del estero)
Quiche,quiché
Rapa,rapa nui
Rarotongan,Reo Rarotonga
Romany,Romane (Makedonija)
Romanian,Română
Kwangali,Rukwangali
Rumanyo,Rumanyo
Runyankore,Runyankore
Rutoro,Rutoro
Saramaccan,Saamakatöngö
Samoan,Gagana Samoa
Sango,Sango
Sarnami,Sarnami
Sepedi,Sepedi
Sesotho,Sesotho
Tswana,Setswana
Shona,Shona
Albanian,shqip
Sidama,Sidaamu Afoo
Swati,SiSwati
Slovak,slovenčina
Slovenian,slovenščina
Solomon Islands Pidgin,Pijin
Somali,Somali
Sranantongo,Sranantongo
Serbian,srpski (latinica)
Finnish,suomi
Swedish,Svenska
Tagalog,Tagalog
Tahitian,Tahiti
Tankarana,Tankarana
Tarahumara,tarahumara
Tetum,Tetun
Nuer,Thok Nath
Tiv,Tiv
Tlapanec,Tlapaneco
Toba,toba
Tojolabal,tojolabal
Tongan,Tongan
Totonac,totonaco
Tzeltal,tseltal
Tzotzil,tsotsil
Twi,Twi
Huastec,tének
Turkish,Türkçe
Uruund,Uruund
Vezo,Vezo
Vietnamese,Việt Nam
Voru,võro
Waray-Waray,Waray-Waray
Wayuunaiki,Wayuunaiki
Wichi,wichi
Wolaita,Wolayttattuwaa
Tsonga,Xitsonga
Yoruba,Yorùbá
Zande,Zande
Zapotec,zapoteco de Guevea
Zapotec,zapoteco del istmo
Zapotec,Zapoteco Lachiguiri
Icelandic,íslenska
Czech,čeština
Greek,Ελληνική
Kurdish,К′öрди Кöрманщи (Кирили)
Bulgarian,български
Ossetian,ирон
Kirghiz,кыргыз
Macedonian,македонски
Mongolian,монгол
Russian,русский
Serbian,српски
Tatar,татар
Tajiki,тоҷикӣ
Ukrainian,українська
Kazakh,қазақ
Armenian,Արեւմտահայերէն
Armenian,Հայերեն
Nepali,नेपाली
Newari,नेवारी
Marathi,मराठी
Hindi,हिंदी
Punjabi,ਪੰਜਾਬੀ
Gujarati,ગુજરાતી
Tamil,தமிழ்
Sinhala,සිංහල
Thai,ไทย
Myanmar,မြန်မာ
Georgian,ქართული
Tigrinya,ትግርኛ
Amharic,አማርኛ
Cambodian,ខ្មែរ
Japanese,日本語
Chinese,汉语简化字
Chinese,漢語繁體字
Korean,한국어
